#Word Types: 1058
#Word Tokens: 1614662
#Search Hits: 0
1	61032	о	
2	47154	и	
3	39121	е	
4	35588	н	
5	35283	а	
6	32046	в	
7	30606	с	
8	22947	то	
9	22632	п	
10	22151	к	
11	21611	я	
12	20289	т	
13	20154	м	
14	17567	л	
15	17519	у	
16	17474	на	
17	17039	ь	
18	16312	ст	
19	16016	не	
20	15602	ал	
21	15412	но	
22	13493	он	
23	13407	д	
24	13352	го	
25	13092	по	
26	12369	ка	
27	12351	ко	
28	12339	ла	
29	12056	ни	
30	11594	ов	
31	11523	ч	
32	11482	б	
33	11328	ен	
34	11263	й	
35	11171	во	
36	10796	ро	
37	10695	ра	
38	10096	от	
39	10077	ть	
40	9894	пр	
41	9300	ло	
42	9213	ел	
43	9210	ос	
44	8706	ва	
45	8677	за	
46	8649	ор	
47	8611	ол	
48	8445	з	
49	8330	ли	
50	8315	ле	
51	8202	ре	
52	8180	ер	
53	7938	те	
54	7909	та	
55	7867	ск	
56	7582	ом	
57	7270	ви	
58	7270	ог	
59	7219	де	
60	7193	чт	
61	7105	р	
62	7094	ил	
63	7061	се	
64	7021	ет	
65	7013	ри	
66	6963	ан	
67	6807	да	
68	6749	ы	
69	6747	аз	
70	6712	ве	
71	6711	х	
72	6703	ак	
73	6665	бы	
74	6633	ат	
75	6630	од	
76	6562	же	
77	6478	г	
78	6447	ин	
79	6390	ем	
80	6066	ит	
81	5999	ти	
82	5986	ес	
83	5944	ег	
84	5920	до	
85	5603	ас	
86	5564	вс	
87	5563	ю	
88	5543	ль	
89	5392	об	
90	5308	че	
91	5059	мо	
92	4892	ав	
93	4801	ся	
94	4697	э	
95	4624	ме	
96	4609	ой	
97	4581	эт	
98	4537	сь	
99	4533	ж	
100	4469	нн	
101	4463	ки	
102	4452	ны	
103	4431	му	
104	4426	им	
105	4281	ив	
106	4144	тв	
107	4139	ми	
108	4136	ыл	
109	3991	сл	
110	3984	ей	
111	3942	ну	
112	3941	ое	
113	3918	ев	
114	3890	ма	
115	3852	ед	
116	3848	ая	
117	3848	тр	
118	3845	вы	
119	3821	ам	
120	3760	ие	
121	3750	со	
122	3630	ше	
123	3616	ар	
124	3615	ру	
125	3562	хо	
126	3538	ее	
127	3529	ча	
128	3503	ад	
129	3278	пе	
130	3255	ди	
131	3250	ис	
132	3234	бе	
133	3144	бо	
134	3063	зн	
135	3058	ож	
136	2970	ич	
137	2909	ду	
138	2893	св	
139	2817	ек	
140	2799	са	
141	2783	уж	
142	2781	ня	
143	2751	ля	
144	2708	сп	
145	2701	из	
146	2666	ия	
147	2546	оч	
148	2476	ид	
149	2466	ок	
150	2465	ши	
151	2428	ик	
152	2425	уд	
153	2416	гл	
154	2413	дн	
155	2398	др	
156	2371	ты	
157	2306	жи	
158	2249	жа	
159	2242	ку	
160	2195	кр	
161	2180	еп	
162	2178	ят	
163	2094	еб	
164	2066	си	
165	2051	ий	
166	2051	чи	
167	2051	ще	
168	2043	их	
169	2020	мн	
170	2005	ош	
171	2000	вн	
172	1982	нь	
173	1953	ры	
174	1925	ьк	
175	1901	ум	
176	1877	лу	
177	1868	гд	
178	1864	ый	
179	1851	ез	
180	1840	ым	
181	1837	ьн	
182	1831	па	
183	1830	ул	
184	1825	ту	
185	1811	ув	
186	1795	аж	
187	1772	лс	
188	1736	вш	
189	1720	оп	
190	1719	бр	
191	1677	ут	
192	1665	тн	
193	1660	вр	
194	1616	нс	
195	1602	лю	
196	1582	жн	
197	1581	ае	
198	1575	уг	
199	1570	оз	
200	1559	бу	
201	1535	ыв	
202	1534	ус	
203	1526	ую	
204	1521	лы	
205	1513	еш	
206	1512	кс	
207	1495	сн	
208	1488	чу	
209	1476	ые	
210	1471	ша	
211	1445	мы	
212	1412	рь	
213	1409	ря	
